frame,y,x,bottom,right,class,class_str,score
1.0,0.35154238,0.66532147,0.5807956,0.80634725,1,person,0.6577283
1.0,0.49216932,0.078821234,0.80412406,0.21163821,72,tv,0.46890855
1.0,0.28414178,0.38472876,0.5204357,0.48324582,1,person,0.46669438
1.0,0.69863284,0.20064603,0.84894645,0.27531603,64,potted plant,0.45273203
1.0,0.75491697,0.8548583,0.85455793,0.8885405,77,cell phone,0.4178669
1.0,0.63475925,0.8384381,0.73361534,0.88839763,47,cup,0.4029274
1.0,0.54046375,0.70517606,0.63096017,0.79091734,73,laptop,0.39116836
1.0,0.37508696,0.2850468,0.5058262,0.35750613,27,backpack,0.37940276
1.0,0.2982565,0.36748713,0.62608016,0.48291034,1,person,0.36658525
1.0,0.38497347,0.3515012,0.52059066,0.41761675,73,laptop,0.3652318
1.0,0.6694183,0.19485605,0.8460707,0.29989278,64,potted plant,0.348638
1.0,0.94800925,0.56063116,0.999576,0.66599023,62,chair,0.3461252
1.0,0.75528926,0.8551991,0.8542883,0.88844943,75,remote,0.3427643
1.0,0.4416138,0.21730652,0.69972456,0.34605864,62,chair,0.32311141
1.0,0.49110764,0.10069117,0.7891421,0.21472162,73,laptop,0.31940842
2.0,0.35156265,0.6653556,0.5808512,0.80650955,1,person,0.65765256
2.0,0.28410488,0.38487613,0.52071005,0.48318225,1,person,0.4687289
2.0,0.49173725,0.07904822,0.8023317,0.21193838,72,tv,0.46760857
2.0,0.6986444,0.20076674,0.84887075,0.27526593,64,potted plant,0.451917
2.0,0.75492865,0.85493153,0.8545304,0.8885266,77,cell phone,0.41068935
2.0,0.6347574,0.8384309,0.73360074,0.88838255,47,cup,0.40391344
2.0,0.5402537,0.70482945,0.6310399,0.7909951,73,laptop,0.39203268
2.0,0.37508586,0.2852317,0.506014,0.35728592,27,backpack,0.3786453
2.0,0.38500196,0.35146862,0.52064455,0.417571,73,laptop,0.37047392
2.0,0.29812008,0.36795726,0.6229565,0.48265538,1,person,0.36481786
2.0,0.9480135,0.5604805,0.99958044,0.6660093,62,chair,0.34699684
2.0,0.6697742,0.19499741,0.84601057,0.2996265,64,potted plant,0.34605217
2.0,0.7553082,0.8552812,0.8542773,0.8884421,75,remote,0.34278077
2.0,0.44189572,0.21738628,0.6994333,0.34580335,62,chair,0.32138252
2.0,0.49074298,0.10083176,0.78969806,0.21468024,73,laptop,0.31375468
3.0,0.35158858,0.6652388,0.5806058,0.80646795,1,person,0.66532195
3.0,0.49200827,0.08002634,0.7969561,0.21138225,72,tv,0.46945065
3.0,0.2987228,0.36793756,0.54297006,0.47989172,1,person,0.46131644
3.0,0.69926184,0.20096335,0.8494771,0.27504492,64,potted plant,0.45153126
3.0,0.5402444,0.7051001,0.6313605,0.79112107,73,laptop,0.43439347
3.0,0.7550126,0.8549563,0.8545914,0.888647,77,cell phone,0.40355515
3.0,0.63472056,0.83840805,0.73362255,0.8884693,47,cup,0.39527607
3.0,0.37507635,0.2853749,0.5064816,0.3568699,27,backpack,0.38350353
3.0,0.38495293,0.35167778,0.52082914,0.41736263,73,laptop,0.3706414
3.0,0.6692566,0.19517694,0.84651107,0.29976177,64,potted plant,0.34964037
3.0,0.9479472,0.5610258,0.99956006,0.6659531,62,chair,0.3390143
3.0,0.7554107,0.85529846,0.8543204,0.8885681,75,remote,0.32372653
3.0,0.4426272,0.21815883,0.7020426,0.34471464,62,chair,0.3227611
3.0,0.4894613,0.10065137,0.7862725,0.21476083,73,laptop,0.31441844
4.0,0.35163316,0.66545254,0.5809787,0.8067079,1,person,0.66363627
4.0,0.4908875,0.07947139,0.793792,0.21237803,72,tv,0.4750873
4.0,0.69903755,0.20128201,0.8477011,0.27517435,64,potted plant,0.47376007
4.0,0.29900873,0.36870652,0.5438553,0.48011494,1,person,0.45845667
4.0,0.53922945,0.7038637,0.6314568,0.79093415,73,laptop,0.4461048
4.0,0.63459975,0.83846813,0.7336332,0.88842994,47,cup,0.40308937
4.0,0.754866,0.8549693,0.8546227,0.8885768,77,cell phone,0.40037978
4.0,0.38559586,0.35133207,0.52099925,0.41733778,73,laptop,0.372432
4.0,0.37550318,0.28563035,0.5061431,0.35713673,27,backpack,0.35837096
4.0,0.7553077,0.85529095,0.8543427,0.8884899,75,remote,0.3426646
4.0,0.9478863,0.56053954,0.9995293,0.666524,62,chair,0.32469434
4.0,0.44288307,0.21824805,0.7056511,0.34712374,62,chair,0.32333985
4.0,0.4908875,0.07947139,0.793792,0.21237803,73,laptop,0.31863183
4.0,0.38115305,0.31175864,0.5198525,0.41158915,73,laptop,0.30471653
5.0,0.35174495,0.6655327,0.58083826,0.8065947,1,person,0.6682196
5.0,0.49065804,0.079594806,0.7954203,0.21206729,72,tv,0.47655454
5.0,0.6991366,0.20135187,0.84802103,0.27509755,64,potted plant,0.4718612
5.0,0.29901677,0.36680582,0.54118395,0.4798368,1,person,0.4562296
5.0,0.53934,0.7042423,0.6314032,0.79099005,73,laptop,0.43988997
5.0,0.7547922,0.8550083,0.8546351,0.8885209,77,cell phone,0.404268
5.0,0.6344162,0.8384749,0.7335981,0.8884316,47,cup,0.40413454
5.0,0.37579536,0.2858419,0.5061029,0.357309,27,backpack,0.35768133
5.0,0.38546908,0.35128322,0.52072734,0.41654626,73,laptop,0.33785814
5.0,0.7552925,0.85533273,0.8543971,0.8884456,75,remote,0.33710772
5.0,0.94781566,0.56033206,0.9995171,0.66663575,62,chair,0.33246
5.0,0.4433117,0.21861035,0.70220315,0.34467584,62,chair,0.3153351
5.0,0.49000195,0.10050434,0.78609073,0.21484256,73,laptop,0.31345913
6.0,0.3514189,0.66557586,0.58022624,0.80670357,1,person,0.67805654
6.0,0.6991411,0.20140117,0.8488999,0.27497712,64,potted plant,0.47547725
6.0,0.29844302,0.36877456,0.53629684,0.480105,1,person,0.45364308
6.0,0.75465566,0.8548685,0.85464376,0.8884738,77,cell phone,0.45089626
6.0,0.49090552,0.08009866,0.8014302,0.21030816,72,tv,0.44220445
6.0,0.5395682,0.70390135,0.63134813,0.7910829,73,laptop,0.43495202
6.0,0.6346185,0.838395,0.7336345,0.8884405,47,cup,0.39723957
6.0,0.38549912,0.3506058,0.5215133,0.41657686,73,laptop,0.3592096
6.0,0.37549856,0.2859222,0.50551164,0.35695848,27,backpack,0.35390258
6.0,0.48856902,0.09614828,0.76975906,0.21712819,73,laptop,0.3473091
6.0,0.9479083,0.56035095,0.9995059,0.66643256,62,chair,0.3364054
6.0,0.755036,0.85514337,0.8544065,0.8884153,75,remote,0.3350775
6.0,0.44146073,0.21825524,0.7014464,0.3462327,62,chair,0.32020438
6.0,0.38132358,0.3120148,0.5202537,0.41104874,73,laptop,0.31079584
7.0,0.35143182,0.66571414,0.58010596,0.8067832,1,person,0.6828222
7.0,0.6992264,0.20151219,0.8486265,0.27488545,64,potted plant,0.47643003
7.0,0.7547815,0.8548832,0.85474384,0.888504,77,cell phone,0.45702347
7.0,0.2985473,0.3689822,0.5371004,0.4800657,1,person,0.45433906
7.0,0.4909095,0.07897596,0.80244184,0.21076398,72,tv,0.4460994
7.0,0.5396896,0.70419085,0.6312557,0.79111564,73,laptop,0.43000793
7.0,0.63455015,0.8383829,0.73357934,0.8884209,47,cup,0.39299652
7.0,0.38559762,0.35054713,0.52145606,0.41658854,73,laptop,0.35360944
7.0,0.37551588,0.28594327,0.5051601,0.35704446,27,backpack,0.3504647
7.0,0.7552135,0.85513794,0.8544313,0.8884381,75,remote,0.34487295
7.0,0.4909095,0.07897596,0.80244184,0.21076398,73,laptop,0.3388113
7.0,0.9478468,0.56007475,0.9995128,0.66650134,62,chair,0.33536166
7.0,0.4401301,0.21827015,0.7018082,0.34722492,62,chair,0.3164667
7.0,0.38127112,0.31146306,0.520293,0.41109353,73,laptop,0.3104722
8.0,0.35138524,0.6657704,0.58002764,0.8069056,1,person,0.68425196
8.0,0.6995797,0.20159079,0.84798217,0.27479613,64,potted plant,0.47300643
8.0,0.29872835,0.36883911,0.53921324,0.48032358,1,person,0.45227498
8.0,0.4910106,0.07814406,0.7981644,0.2113414,72,tv,0.45212272
8.0,0.7547642,0.85491055,0.854797,0.8884664,77,cell phone,0.44607723
8.0,0.5392189,0.70374346,0.6312939,0.7910665,73,laptop,0.43312803
8.0,0.63470197,0.83838284,0.7336011,0.8883524,47,cup,0.39591044
8.0,0.3755219,0.28594473,0.5053559,0.3569294,27,backpack,0.3541505
8.0,0.38556945,0.35081354,0.52111125,0.4164041,73,laptop,0.35271493
8.0,0.75526917,0.8551676,0.85444343,0.8883991,75,remote,0.34965682
8.0,0.4910106,0.07814406,0.7981644,0.2113414,73,laptop,0.34438676
8.0,0.94772005,0.5601357,0.9995079,0.6666888,62,chair,0.33819926
8.0,0.671427,0.1964114,0.84533167,0.29934394,64,potted plant,0.33588898
8.0,0.44015223,0.21884707,0.70152956,0.34621623,62,chair,0.3206975
8.0,0.38135296,0.3118699,0.520195,0.41099188,73,laptop,0.3057821
8.0,0.64359635,0.23173201,0.72741574,0.33500963,62,chair,0.30122513
9.0,0.3513521,0.6657518,0.58029556,0.8065795,1,person,0.6832434
9.0,0.6990565,0.20147207,0.8474076,0.27470413,64,potted plant,0.4719874
9.0,0.49153984,0.07612867,0.796965,0.21174401,72,tv,0.46263853
9.0,0.75474167,0.8547876,0.8547529,0.88846433,77,cell phone,0.45263293
9.0,0.29873875,0.36751223,0.5419152,0.48013997,1,person,0.4469064
9.0,0.5394902,0.703964,0.63140166,0.7909683,73,laptop,0.43209007
9.0,0.6347406,0.83834386,0.73358405,0.88838434,47,cup,0.39012
9.0,0.38532802,0.3503225,0.5216357,0.41697088,73,laptop,0.3624557
9.0,0.7550346,0.8550397,0.8544199,0.8884243,75,remote,0.35837302
9.0,0.37578458,0.28594327,0.5049648,0.3571595,27,backpack,0.3483349
9.0,0.49153984,0.07612867,0.796965,0.21174401,73,laptop,0.34256962
9.0,0.9476769,0.55998594,0.9995462,0.66670126,62,chair,0.33864686
9.0,0.67073166,0.19626762,0.8450892,0.29850426,64,potted plant,0.33559892
9.0,0.44275838,0.21970716,0.6966923,0.34380838,62,chair,0.31607658
9.0,0.3810593,0.31012616,0.5204766,0.4114835,73,laptop,0.3137933
10.0,0.35126236,0.6658292,0.5802977,0.80700684,1,person,0.6891482
10.0,0.69903815,0.20135084,0.8477483,0.27466416,64,potted plant,0.4706165
10.0,0.49133286,0.076317504,0.7962303,0.21154891,72,tv,0.46920162
10.0,0.75472975,0.8547762,0.854813,0.8884873,77,cell phone,0.45040342
10.0,0.2983322,0.36731935,0.5365201,0.4798892,1,person,0.45002136
10.0,0.5396527,0.7041068,0.6311232,0.7910092,73,laptop,0.40934542
10.0,0.63482237,0.838334,0.7335887,0.88838893,47,cup,0.3862872
10.0,0.3756589,0.2859947,0.5051572,0.35686594,27,backpack,0.35809678
10.0,0.38520342,0.3501722,0.52147955,0.41688415,73,laptop,0.3514799
10.0,0.49133286,0.076317504,0.7962303,0.21154891,73,laptop,0.34300923
10.0,0.94771683,0.56007147,0.9995439,0.6665962,62,chair,0.3399536
10.0,0.66969633,0.19630331,0.84545624,0.29904765,64,potted plant,0.3399179
10.0,0.75508195,0.8550181,0.8544728,0.8884385,75,remote,0.334929
10.0,0.44205427,0.2199524,0.6974236,0.3447904,62,chair,0.3206982
11.0,0.3514986,0.66563,0.58010423,0.8069507,1,person,0.687146
11.0,0.49003768,0.074718446,0.7944257,0.21142042,72,tv,0.49226215
11.0,0.69903207,0.20141935,0.8492038,0.27468273,64,potted plant,0.47083688
11.0,0.754663,0.8547129,0.85484684,0.8884173,77,cell phone,0.45291683
11.0,0.29851943,0.3685408,0.5365465,0.48050764,1,person,0.450756
11.0,0.63447213,0.83837384,0.7335452,0.88839453,47,cup,0.3973573
11.0,0.5394392,0.70414203,0.6309998,0.79090005,73,laptop,0.39439845
11.0,0.37565452,0.2863572,0.5054291,0.35704872,27,backpack,0.36081493
11.0,0.3851185,0.3506956,0.5215193,0.4167266,73,laptop,0.3573081
11.0,0.7550093,0.85493934,0.85451734,0.88836086,75,remote,0.33888763
11.0,0.94771266,0.5600128,0.99952805,0.6664468,62,chair,0.33271706
11.0,0.6713736,0.19629295,0.84623146,0.29866144,64,potted plant,0.33159336
11.0,0.443272,0.22154057,0.6963283,0.34500402,62,chair,0.31312555
11.0,0.49003768,0.074718446,0.7944257,0.21142042,73,laptop,0.3084879
12.0,0.35143217,0.6656126,0.58010626,0.80713594,1,person,0.6880686
12.0,0.48996568,0.07512817,0.7943462,0.2114389,72,tv,0.48981914
12.0,0.69907457,0.20124258,0.84932715,0.2747926,64,potted plant,0.46706754
12.0,0.75463665,0.85471874,0.85487235,0.88839906,77,cell phone,0.45301515
12.0,0.29837826,0.36845762,0.5346252,0.48022932,1,person,0.4504584
12.0,0.63454926,0.8383951,0.7335764,0.8884187,47,cup,0.40109754
12.0,0.53967696,0.7041538,0.6308021,0.79099226,73,laptop,0.38526005
12.0,0.3755576,0.28647864,0.5052775,0.35681176,27,backpack,0.3650523
12.0,0.38486767,0.35041195,0.52157104,0.41664946,73,laptop,0.35741323
12.0,0.670076,0.19608076,0.8463172,0.29971266,64,potted plant,0.3379714
12.0,0.7549935,0.85494024,0.85455924,0.8883516,75,remote,0.3353622
12.0,0.9478172,0.55986756,0.99951804,0.6663371,62,chair,0.3331586
12.0,0.44246608,0.22176704,0.69593495,0.34622774,62,chair,0.31671032
12.0,0.48996568,0.07512817,0.7943462,0.2114389,73,laptop,0.3104211
13.0,0.35160792,0.665956,0.57975155,0.80726683,1,person,0.68877494
13.0,0.48865777,0.07555061,0.7912484,0.21251601,72,tv,0.4876572
13.0,0.69952446,0.20125216,0.84913975,0.2747748,64,potted plant,0.468855
13.0,0.7547037,0.85466796,0.8548793,0.88847,77,cell phone,0.4664485
13.0,0.29848418,0.37075087,0.53537077,0.480503,1,person,0.44462517
13.0,0.53907406,0.70445806,0.63081753,0.7909866,73,laptop,0.40150595
13.0,0.63422656,0.83836687,0.7336086,0.8884373,47,cup,0.39303815
13.0,0.37410304,0.2859396,0.5037247,0.35557017,27,backpack,0.3770044
13.0,0.3835321,0.3484647,0.52195686,0.41667148,73,laptop,0.36367548
