frame,y,x,bottom,right,class,class_str,score
1.0,0.5582538,0.8153964,0.76198846,0.9338316,73,laptop,0.7912399
1.0,0.4285335,0.1813311,0.5607833,0.30328465,73,laptop,0.66743857
1.0,0.72611266,0.647567,0.9928877,0.8021793,62,chair,0.6072312
1.0,0.23510292,0.45311308,0.4565737,0.5842476,1,person,0.5975423
1.0,0.31902966,0.19564262,0.43714216,0.2929035,1,person,0.54287064
1.0,0.47061345,0.6894064,0.94782686,0.915014,1,person,0.5210529
1.0,0.38438135,0.6925645,0.5270346,0.75236,64,potted plant,0.47318327
1.0,0.2194412,0.75359064,0.6172757,0.99861795,72,tv,0.46922585
1.0,0.77588826,0.822605,0.99479264,0.9624194,73,laptop,0.46767104
1.0,0.46386537,0.7051264,0.5307671,0.74612844,86,vase,0.4150886
1.0,0.7952198,0.36806965,0.99741244,0.5064187,62,chair,0.40736014
1.0,0.31640485,0.6834928,0.52659327,0.752897,64,potted plant,0.3915069
1.0,0.24559362,0.44363523,0.6012358,0.58655787,1,person,0.35698783
1.0,0.44994283,0.1799148,0.59520614,0.32894668,73,laptop,0.35250568
1.0,0.41770253,0.70096284,0.5313919,0.7504297,86,vase,0.35084993
1.0,0.74912924,0.37672135,0.9120874,0.4923558,64,potted plant,0.34878847
1.0,0.70526856,0.84687555,0.9813594,0.9954877,73,laptop,0.34569868
1.0,0.33830723,0.18872853,0.5195049,0.30061916,1,person,0.34230784
1.0,0.4248241,0.5734454,0.49198386,0.63813454,73,laptop,0.3308094
1.0,0.8032214,0.29406762,0.99907786,0.4992239,62,chair,0.3093397
2.0,0.5581273,0.8152795,0.7624855,0.933825,73,laptop,0.7906951
2.0,0.4283536,0.18135124,0.5614641,0.30317068,73,laptop,0.6719635
2.0,0.7266953,0.647423,0.99320114,0.8022208,62,chair,0.60798633
2.0,0.23418055,0.4544201,0.45743835,0.58317375,1,person,0.5881614
2.0,0.31907645,0.1956413,0.43711528,0.29282504,1,person,0.5395326
2.0,0.47055292,0.689063,0.9472985,0.9140633,1,person,0.51400554
2.0,0.21764061,0.7539591,0.61697376,0.99840766,72,tv,0.47945002
2.0,0.384735,0.692447,0.52713794,0.7523779,64,potted plant,0.47543335
2.0,0.7758092,0.8226026,0.9954676,0.9629488,73,laptop,0.46523148
2.0,0.4640079,0.70507026,0.5308017,0.74609816,86,vase,0.4182685
2.0,0.7952453,0.36805552,0.99740136,0.5064074,62,chair,0.40632504
2.0,0.31800556,0.683747,0.5265597,0.7529791,64,potted plant,0.39122412
2.0,0.42471105,0.5738802,0.492128,0.63806725,73,laptop,0.37953883
2.0,0.450289,0.17988196,0.5956892,0.32926378,73,laptop,0.3589689
2.0,0.41787595,0.70098674,0.5314084,0.75040674,86,vase,0.35414356
2.0,0.24280961,0.44308263,0.62763005,0.5864833,1,person,0.35105836
2.0,0.74909985,0.37674993,0.91315186,0.49245107,64,potted plant,0.34718126
2.0,0.33829057,0.18888795,0.5218251,0.3009107,1,person,0.34496945
2.0,0.70622015,0.84593266,0.98231745,0.99524957,73,laptop,0.34305015
2.0,0.80833536,0.2934839,1.0,0.5032376,62,chair,0.32347992
3.0,0.5582467,0.8155026,0.76125413,0.93384,73,laptop,0.7801252
3.0,0.42815793,0.18136996,0.56141126,0.3030201,73,laptop,0.65703094
3.0,0.7254102,0.647124,0.9933846,0.8017196,62,chair,0.6026927
3.0,0.23361,0.45772487,0.4485825,0.57924145,1,person,0.5935933
3.0,0.31908742,0.19566801,0.4368222,0.29286498,1,person,0.534407
3.0,0.4710937,0.6889984,0.94933695,0.9156566,1,person,0.52443963
3.0,0.21885362,0.75441766,0.6164421,0.9984114,72,tv,0.48075303
3.0,0.38407415,0.69263655,0.5273312,0.75238687,64,potted plant,0.47061223
3.0,0.77586263,0.8227705,0.9950821,0.962319,73,laptop,0.46337986
3.0,0.46386048,0.70508546,0.53087586,0.74611264,86,vase,0.42215484
3.0,0.79496855,0.3681124,0.9974695,0.50635964,62,chair,0.4104003
3.0,0.31785777,0.683624,0.5269094,0.7528497,64,potted plant,0.38718718
3.0,0.41872168,0.701186,0.5315643,0.75020534,86,vase,0.3595619
3.0,0.44932604,0.17992404,0.59525824,0.32887205,73,laptop,0.353735
