frame,y,x,bottom,right,class,class_str,score
1.0,0.3754934,0.15957472,0.9689573,0.39462176,1,person,0.715506
1.0,0.50987774,0.6317565,0.9635189,0.94929785,1,person,0.69424975
1.0,0.5723081,0.67650294,0.6278567,0.80157244,76,keyboard,0.67960984
1.0,0.5948304,0.2600937,0.9789424,0.43153507,62,chair,0.66015875
1.0,0.7832962,0.73839414,0.9955394,0.9877976,73,laptop,0.6139017
1.0,0.20494181,0.35979128,0.39921856,0.4654997,1,person,0.5476799
1.0,0.4183686,0.5898517,0.53946555,0.6544815,64,potted plant,0.47735026
1.0,0.38805804,0.30662924,0.4787697,0.4176324,73,laptop,0.43371138
1.0,0.36378345,0.67554075,0.5109824,0.8210259,72,tv,0.4114018
1.0,0.47280887,0.10652398,0.6505666,0.2337794,73,laptop,0.3827557
1.0,0.6542771,0.68887186,0.9727782,0.9641321,1,person,0.3625752
1.0,0.7165331,0.037758812,0.83752257,0.112375066,75,remote,0.36196527
1.0,0.41746497,0.18421245,0.96740556,0.40225512,62,chair,0.35196742
1.0,0.6542771,0.68887186,0.9727782,0.9641321,73,laptop,0.3411492
1.0,0.23536006,0.8201555,0.43271753,0.867399,72,tv,0.33996183
1.0,0.7182403,0.036184862,0.8401715,0.11498004,76,keyboard,0.32853448
1.0,0.2379903,0.82020736,0.5050726,0.893314,72,tv,0.32303876
1.0,0.0022382587,0.40066895,0.23302628,0.68120444,72,tv,0.30832812
2.0,0.37475762,0.15918191,0.9699428,0.39377517,1,person,0.7246189
2.0,0.5084533,0.6300011,0.96303016,0.9502819,1,person,0.6900522
2.0,0.5723412,0.6763239,0.6277946,0.8016046,76,keyboard,0.6809151
2.0,0.5941056,0.26047266,0.97901106,0.43185538,62,chair,0.6626931
2.0,0.7836581,0.7371263,0.99557394,0.9880362,73,laptop,0.5998417
2.0,0.20529406,0.35921907,0.39984888,0.46526724,1,person,0.5396186
2.0,0.41944602,0.589878,0.5410163,0.6538963,64,potted plant,0.4696748
2.0,0.38866767,0.30615455,0.47869673,0.41301996,73,laptop,0.4626007
2.0,0.05302161,0.67515755,0.37638977,0.81189656,72,tv,0.3813172
2.0,0.47260517,0.10685779,0.6491398,0.23162247,73,laptop,0.37691167
2.0,0.71660626,0.03770819,0.83749926,0.11225362,75,remote,0.36031935
2.0,0.65709203,0.6878623,0.97342354,0.96595013,1,person,0.35629618
2.0,0.41345355,0.18442534,0.96791244,0.4023049,62,chair,0.35071555
2.0,0.65709203,0.6878623,0.97342354,0.96595013,73,laptop,0.34059566
2.0,0.23559505,0.820425,0.5112645,0.8956153,72,tv,0.32212
2.0,0.23040399,0.82034785,0.43392345,0.8671642,72,tv,0.31767946
2.0,0.71837634,0.036163878,0.8400286,0.11488254,76,keyboard,0.31755227
2.0,0.5285021,0.7083191,0.5723909,0.76307374,74,mouse,0.31662473
2.0,0.0022654384,0.4008662,0.23117173,0.68060476,72,tv,0.31151605
3.0,0.3743779,0.1584973,0.9711036,0.39327058,1,person,0.7190988
3.0,0.50835645,0.6295916,0.96270657,0.94952464,1,person,0.6918935
3.0,0.57236993,0.6764395,0.6277616,0.8016412,76,keyboard,0.67686915
3.0,0.5940532,0.26047757,0.979682,0.431766,62,chair,0.6670831
3.0,0.78373116,0.7371961,0.9955618,0.9881108,73,laptop,0.59999484
3.0,0.2049433,0.359441,0.40041292,0.46509817,1,person,0.55091906
3.0,0.38935152,0.30606118,0.4784445,0.41045907,73,laptop,0.5484179
3.0,0.41932803,0.5898401,0.54119706,0.6539027,64,potted plant,0.47128063
3.0,0.4725514,0.10690872,0.6494531,0.2315119,73,laptop,0.366198
3.0,0.7165593,0.03772121,0.83747995,0.11227567,75,remote,0.3639791
3.0,0.05192247,0.6743858,0.3781977,0.811906,72,tv,0.35938007
3.0,0.66013956,0.6881678,0.973261,0.9657985,1,person,0.35317838
3.0,0.4141603,0.18526755,0.9681507,0.40276444,62,chair,0.3518722
3.0,0.66013956,0.6881678,0.973261,0.9657985,73,laptop,0.33847415
3.0,0.23031484,0.8203849,0.43463248,0.86741465,72,tv,0.32822025
3.0,0.7184068,0.036096882,0.8399495,0.11491029,76,keyboard,0.3259072
3.0,0.23487054,0.82040405,0.5063882,0.8939705,72,tv,0.32091773
3.0,0.52842796,0.708304,0.5723362,0.76294,74,mouse,0.31642562
3.0,0.0021300688,0.40147144,0.23069781,0.6804685,72,tv,0.30863848
4.0,0.37608796,0.15890463,0.9700305,0.3930856,1,person,0.72411835
4.0,0.508948,0.6276393,0.96511453,0.9493623,1,person,0.71266407
4.0,0.5935656,0.25962242,0.9804182,0.4318225,62,chair,0.6737933
4.0,0.5723095,0.6765302,0.6277288,0.8018518,76,keyboard,0.6662282
4.0,0.7833848,0.73713094,0.99568594,0.9882571,73,laptop,0.6069393
4.0,0.38927707,0.30591062,0.47837123,0.4077718,73,laptop,0.5548629
4.0,0.20511013,0.35955316,0.40035433,0.4652866,1,person,0.54524636
4.0,0.41924292,0.590106,0.5401251,0.6534221,64,potted plant,0.45860526
4.0,0.47258216,0.10684797,0.6488407,0.23118785,73,laptop,0.38447863
4.0,0.41419291,0.18605231,0.9684075,0.40272915,62,chair,0.35641593
4.0,0.71648586,0.037753575,0.837445,0.112313725,75,remote,0.34891
4.0,0.052954704,0.67340547,0.3781281,0.81163734,72,tv,0.34629667
4.0,0.65979576,0.6892426,0.9735576,0.96580184,1,person,0.34496137
4.0,0.71810085,0.035894357,0.83994275,0.11514843,76,keyboard,0.33971494
4.0,0.65979576,0.6892426,0.9735576,0.96580184,73,laptop,0.33218116
4.0,0.23114572,0.82031846,0.4344023,0.867231,72,tv,0.31437117
4.0,0.0016774312,0.40124404,0.22607404,0.68028307,72,tv,0.31161803
4.0,0.23505285,0.82024634,0.50565886,0.8937104,72,tv,0.31003708
5.0,0.37615973,0.15928325,0.9707759,0.3928044,1,person,0.72601163
5.0,0.5090164,0.62806183,0.9649589,0.9493585,1,person,0.71187854
5.0,0.5951489,0.26029068,0.98081017,0.43167257,62,chair,0.674933
5.0,0.5722771,0.676587,0.6277458,0.8018464,76,keyboard,0.6637956
5.0,0.78344166,0.7372,0.9956372,0.98833895,73,laptop,0.605293
5.0,0.3891155,0.30592835,0.47834682,0.40787673,73,laptop,0.5559067
5.0,0.2050719,0.3595334,0.40030542,0.46530536,1,person,0.54108113
5.0,0.4191859,0.5900888,0.54011524,0.6534259,64,potted plant,0.46314344
5.0,0.47269195,0.10693577,0.64881533,0.23033053,73,laptop,0.3790707
5.0,0.71644545,0.03776277,0.83743465,0.11232888,75,remote,0.35390794
5.0,0.05117236,0.6730164,0.37874222,0.81195307,72,tv,0.35375932
5.0,0.41171992,0.18599433,0.9683533,0.40224737,62,chair,0.35343552
5.0,0.71806866,0.035840444,0.83989185,0.11516727,76,keyboard,0.34937203
5.0,0.6593442,0.68896496,0.9731016,0.9653728,1,person,0.34771138
5.0,0.6593442,0.68896496,0.9731016,0.9653728,73,laptop,0.33158687
5.0,0.0016976371,0.40142047,0.22625405,0.6802566,72,tv,0.3154835
5.0,0.2310447,0.820384,0.4341119,0.86713576,72,tv,0.3106419
5.0,0.23536071,0.8202766,0.508415,0.89428794,72,tv,0.30747178
6.0,0.37650135,0.1584219,0.9734534,0.3942099,1,person,0.71790045
6.0,0.5080582,0.6307377,0.9630823,0.9491802,1,person,0.6949497
6.0,0.5942124,0.25984776,0.98141825,0.43175042,62,chair,0.6760169
6.0,0.57222456,0.67658424,0.6278433,0.8017726,76,keyboard,0.66665035
6.0,0.783383,0.73769706,0.99571574,0.98856825,73,laptop,0.6114702
6.0,0.20509836,0.35940117,0.39969173,0.46570134,1,person,0.54070395
6.0,0.4182988,0.59015775,0.54087126,0.6533129,64,potted plant,0.4651444
6.0,0.387092,0.30577457,0.47859234,0.4112864,73,laptop,0.42517316
6.0,0.05458623,0.6745147,0.37848598,0.8120523,72,tv,0.3906815
6.0,0.47321105,0.10757515,0.648865,0.23038068,73,laptop,0.38184834
6.0,0.71660924,0.03771061,0.8374926,0.11219999,75,remote,0.36234498
6.0,0.4141248,0.18545634,0.96892136,0.40264893,62,chair,0.35960394
6.0,0.65908587,0.68755615,0.97263587,0.9657332,1,person,0.34903973
6.0,0.65908587,0.68755615,0.97263587,0.9657332,73,laptop,0.33770964
